Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
ci CIV,Emmanuel Agbadou,DF,Reims,1260,14.0,0,0,0.5,0.3,10,77,0,15,3,87.9,8,4,25,17,19,44,64,1080,9,75.0,621,701,13
eng ENG,Asher Agbinone,MF,Crystal Palace,6,0.1,0,0,0.0,0.0,2,0,1,1,0,66.7,1,0,2,1,0,2,0,8,0,0.0,5,5,0
se SWE,Jeremy Agbonifo,"FW,MF",Lens,300,3.3,1,0,0.7,0.2,13,6,36,6,4,72.5,3,4,7,6,1,8,0,131,9,45.0,84,92,14
es ESP,Julen Agirrezabala,GK,Athletic Club,1206,13.4,0,0,0.0,0.0,0,0,0,0,0,68.4,0,0,0,0,0,0,4,437,0,,237,211,3
fr FRA,Lucien Agoume,MF,Sevilla,2114,23.5,1,3,0.9,2.5,29,135,23,10,2,81.5,27,19,70,32,41,111,42,1481,22,73.3,689,928,49
ng NGA,Felix Agu,DF,Werder Bremen,1751,19.5,3,0,1.4,1.8,33,43,105,9,4,79.7,20,22,30,14,21,51,48,1045,9,25.7,545,605,11
es ESP,Álvaro Aguado,MF,Espanyol,443,4.9,0,1,0.6,0.6,15,37,4,10,1,77.8,4,8,5,2,4,9,5,303,5,62.5,175,189,5
es ESP,Lorenzo Aguado,DF,Real Madrid,5,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,2,3,0,,1,1,0
ma MAR,Nayef Aguerd,DF,Real Sociedad,1760,19.6,0,0,2.4,0.1,26,75,1,15,5,87.3,5,3,30,24,13,43,91,1594,5,50.0,1019,1138,11
fr FRA,Ruben Aguilar,"DF,MF",Lens,1124,12.5,1,2,0.8,1.9,32,74,101,11,3,80.3,11,21,34,18,13,47,23,996,9,42.9,518,612,14
fr FRA,Naouirou Ahamada,"MF,FW",Rennes,58,0.6,0,0,0.0,0.0,2,1,1,1,0,77.3,0,0,0,0,2,2,2,31,0,0.0,16,17,1
it ITA,Honest Ahanor,"DF,MF",Genoa,270,3.0,0,0,0.5,0.1,3,3,7,3,1,67.1,2,0,7,5,1,8,9,106,0,0.0,52,50,2
se SWE,Erik Ahlstrand,"FW,MF",St. Pauli,43,0.5,0,0,0.0,0.0,1,1,3,0,0,76.9,0,0,0,0,1,1,1,22,0,,12,14,0
ci CIV,Jean-Eudes Aholou,MF,Angers,1959,21.8,2,0,1.8,1.0,15,68,16,27,7,84.3,10,7,56,36,33,89,32,1032,12,42.9,495,615,50
gh GHA,Joseph Aidoo,DF,Valladolid,583,6.5,0,0,0.0,0.0,1,14,0,1,0,89.2,0,2,5,5,5,10,26,431,1,100.0,259,320,4
gh GHA,Joseph Aidoo,DF,Celta Vigo,2,0.0,0,0,0.0,0.0,0,1,0,0,0,85.7,0,0,1,0,0,1,0,8,0,,7,6,0
fr FRA,Ayman Aiki,"FW,MF",Saint-Étienne,127,1.4,0,0,0.1,0.0,4,5,8,3,1,58.6,1,1,3,3,1,4,0,48,0,0.0,33,37,4
ng NGA,Ola Aina,DF,Nott'ham Forest,2995,33.3,2,1,0.6,1.4,67,107,67,11,2,73.5,16,23,55,42,33,88,115,1708,33,45.8,749,822,23
dz ALG,Rayan Aït-Nouri,DF,Wolves,3109,34.5,4,7,2.7,5.5,89,108,176,36,10,84.2,46,30,89,57,26,115,75,2148,63,46.0,1129,1321,30
ci CIV,Junior Ajayi,FW,Hellas Verona,13,0.1,0,0,0.0,0.0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,5,0,,5,5,1
no NOR,Kristoffer Ajer,DF,Brentford,1438,16.0,0,0,1.0,1.2,27,56,44,9,3,78.3,8,7,26,18,12,38,50,795,7,43.8,387,491,13
fr FRA,Ludovic Ajorque,FW,Brest,2495,27.7,13,2,10.4,3.1,10,41,124,53,25,68.9,35,11,26,19,6,32,26,914,8,47.1,410,658,61
ch SUI,Manuel Akanji,DF,Manchester City,2014,22.4,0,0,1.6,0.4,46,158,7,15,2,93.6,9,11,19,12,9,28,64,1881,2,100.0,1254,1483,17
ro ROU,Ümit Akdag,DF,Toulouse,500,5.6,0,0,0.1,0.1,4,29,9,2,0,78.7,2,1,8,4,11,19,19,400,1,100.0,217,240,8
nl NED,Nathan Aké,DF,Manchester City,678,7.5,0,0,0.2,0.0,12,50,2,3,0,93.9,1,1,9,7,3,12,22,596,1,100.0,403,449,2
ma MAR,Ilias Akhomach,"MF,FW",Villarreal,584,6.5,1,0,0.6,1.0,30,12,64,17,6,73.5,9,8,12,7,3,15,13,293,19,44.2,200,209,9
es ESP,Sergio Akieme,DF,Reims,2523,28.0,2,3,1.5,2.5,55,86,97,26,7,81.0,21,20,34,23,17,51,97,1436,13,41.9,710,817,25
fr FRA,Maghnes Akliouche,"FW,MF",Monaco,2406,26.7,5,10,9.2,7.3,127,173,226,61,17,81.3,49,64,51,31,15,66,13,1566,50,48.5,999,1149,31
ci CIV,Paul Akouokou,MF,Lyon,19,0.2,0,0,0.0,0.0,0,1,0,0,0,66.7,0,0,1,0,1,2,0,18,0,,14,14,3
ci CIV,Clément Akpa,DF,Auxerre,2486,27.6,0,1,0.3,0.9,27,74,24,6,1,82.5,8,10,55,34,42,97,141,1532,8,34.8,895,929,15
ci CIV,Jean-Daniel Akpa-Akpro,MF,Monza,966,10.7,0,0,0.3,0.2,21,19,22,4,2,79.5,3,2,30,18,13,43,16,505,12,31.6,306,290,24
ng NGA,David Akpan Ankeye,"FW,MF",Genoa,45,0.5,0,0,0.0,0.0,0,1,3,0,0,85.7,0,1,0,0,0,0,1,9,1,100.0,6,10,3
ng NGA,Kevin Akpoguma,DF,Hoffenheim,2220,24.7,0,0,0.1,0.3,14,98,16,5,1,87.1,7,10,54,27,29,83,115,1692,8,53.3,892,1025,25
eng ENG,Chuba Akpom,FW,Lille,639,7.1,3,1,5.0,0.5,6,7,38,18,9,67.7,5,4,8,5,0,8,3,165,4,44.4,80,113,11
at AUT,David Alaba,DF,Real Madrid,317,3.5,0,0,0.0,0.1,2,7,4,0,0,90.4,1,1,1,0,6,7,7,247,0,,180,199,2
ng NGA,Ibrahim Alani,MF,Valladolid,160,1.8,0,0,0.0,0.0,2,5,1,1,0,83.5,0,0,12,7,1,13,1,113,1,100.0,54,65,2
dk DEN,Andreas Albers,FW,St. Pauli,62,0.7,1,0,0.6,0.1,1,3,6,3,1,51.7,2,0,1,1,0,1,1,44,2,66.7,24,40,3
es ESP,Raúl Albiol,DF,Villarreal,1188,13.2,0,0,0.1,0.0,3,34,0,2,0,89.4,0,1,10,9,6,16,69,915,0,,514,652,11
ar ARG,Carlos Alcaraz,MF,Southampton,10,0.1,0,0,0.1,0.1,4,6,1,1,1,100.0,1,1,0,0,1,1,0,17,0,0.0,12,12,1
ar ARG,Carlos Alcaraz,"FW,MF",Everton,764,8.5,2,3,1.7,1.6,19,42,21,26,11,80.6,13,18,11,5,5,16,10,378,9,50.0,211,247,13
py PAR,Omar Alderete,DF,Getafe,2971,33.0,1,0,1.7,0.9,25,112,7,38,10,65.5,11,15,43,29,40,83,241,1585,18,64.3,633,658,33
es ESP,Carles Aleñá,"MF,FW",Getafe,452,5.0,0,0,0.9,0.1,3,12,10,5,1,79.5,3,3,6,3,0,6,7,163,3,75.0,88,98,8
es ESP,Carles Aleñá,"MF,FW",Alavés,1090,12.1,0,2,0.7,1.3,18,58,43,15,4,76.1,19,14,19,12,2,21,4,590,12,50.0,330,409,11
de GER,Ben Alexander Voll,GK,St. Pauli,91,1.0,0,0,0.0,0.1,0,0,0,0,0,56.0,1,0,0,0,0,0,0,52,0,,33,23,0
eng ENG,Trent Alexander-Arnold,DF,Liverpool,2365,26.3,3,6,1.9,7.3,51,232,94,45,8,73.5,52,65,72,50,31,103,55,2252,17,45.9,1183,1436,11
es ESP,Alfon,"FW,MF",Celta Vigo,1371,15.2,5,2,4.6,2.6,89,22,170,46,19,69.8,24,7,8,3,5,13,5,551,25,39.7,374,428,15
fr FRA,Mohamed Ali Cho,"FW,MF",Nice,1621,18.0,3,4,4.0,4.0,81,59,133,36,15,70.3,30,36,13,9,5,18,8,720,20,28.6,460,545,12
de GER,Faride Alidou,"FW,MF",Hellas Verona,71,0.8,0,0,0.0,0.0,1,1,2,1,0,80.0,1,1,0,0,1,1,3,31,2,50.0,17,19,1
br BRA,Alisson,GK,Liverpool,2508,27.9,0,0,0.0,0.6,0,1,0,0,0,82.8,1,0,1,0,0,1,13,1011,1,100.0,658,618,0
ar ARG,Tadeo Allende,FW,Celta Vigo,2,0.0,0,0,0.0,0.0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,4,0,0.0,3,3,0
ga GAB,Jim Allevinah,FW,Angers,1750,19.4,1,3,4.2,2.5,57,48,99,35,10,75.2,15,13,19,11,12,31,17,682,15,31.3,435,483,18
eng ENG,Dele Alli,MF,Como,9,0.1,0,0,0.0,0.0,0,0,1,0,0,100.0,0,0,0,0,0,0,0,4,0,,3,4,1
ar ARG,Thiago Almada,"MF,FW",Lyon,951,10.6,1,4,2.0,2.6,38,97,50,23,5,84.9,22,20,14,8,7,21,6,831,8,57.1,568,652,10
pt POR,Domingos André Ribeiro Almeida,"MF,FW",Valencia,1977,22.0,0,4,1.2,3.2,45,142,77,18,5,84.3,43,24,48,32,8,56,14,1162,22,40.7,676,836,28
es ESP,Iker Almena,"FW,DF",Girona,48,0.5,0,1,0.0,0.7,6,2,10,1,0,71.9,2,0,0,0,0,0,2,39,2,66.7,32,31,0
py PAR,Miguel Almirón,FW,Newcastle Utd,157,1.7,0,0,0.5,0.3,3,6,18,6,2,81.8,3,1,3,2,0,3,0,81,1,50.0,54,59,1
se SWE,Pontus Almqvist,"FW,MF",Parma,1112,12.4,1,1,2.1,1.3,42,12,85,26,9,72.4,10,4,17,13,19,36,8,462,20,40.0,298,320,15
es ESP,Marcos Alonso,DF,Celta Vigo,2647,29.4,3,0,4.0,1.3,64,215,49,31,10,89.2,21,21,35,21,34,69,126,2683,16,64.0,1733,1901,31
it ITA,Giorgio Altare,DF,Venezia,753,8.4,0,0,0.2,0.1,4,20,5,3,1,72.8,1,2,13,12,17,30,49,505,5,83.3,235,252,10
es ESP,Adrià Altimira,"DF,FW",Leganés,1630,18.1,0,0,0.3,0.5,23,42,69,7,2,78.5,11,10,41,24,15,56,54,826,10,32.3,370,432,27
es ESP,Sergi Altimira,MF,Betis,1972,21.9,0,1,1.7,1.7,25,99,30,21,4,89.3,22,13,61,37,24,85,43,1521,16,66.7,908,1064,35
,Olabade Aluko,DF,Leicester City,2,0.0,0,0,0.0,0.0,0,0,0,0,0,60.0,0,0,1,1,0,1,0,6,0,0.0,2,2,0
mx MEX,Edson Álvarez,MF,West Ham,1772,19.7,0,1,0.4,0.8,24,85,18,12,1,85.8,12,12,50,27,18,68,46,1239,14,42.4,687,830,42
es ESP,Hugo Álvarez,"MF,DF",Celta Vigo,1572,17.5,4,3,2.5,1.1,74,60,171,25,9,78.9,17,15,26,9,8,34,29,1214,32,44.4,726,817,25
ar ARG,Julián Álvarez,FW,Atlético Madrid,2509,27.9,17,4,14.1,5.3,79,92,162,70,36,74.2,41,38,25,17,2,27,12,1238,34,52.3,776,892,26
es ESP,Yeray Álvarez,DF,Athletic Club,1781,19.8,1,0,0.5,0.2,19,105,0,9,2,84.1,4,3,25,13,34,59,129,1425,6,66.7,792,903,15
fr FRA,Skelly Alvero,MF,Werder Bremen,236,2.6,0,0,0.0,0.0,1,8,0,1,0,74.7,0,3,11,6,2,13,10,136,2,66.7,70,74,7
eng ENG,Will Alves,FW,Leicester City,1,0.0,0,0,0.0,0.0,0,0,1,0,0,100.0,0,0,0,0,0,0,0,1,0,,1,1,0
ma MAR,Selim Amallah,MF,Valladolid,1376,15.3,3,1,3.5,1.1,24,57,27,21,7,78.3,13,11,30,18,14,44,5,607,33,48.5,308,353,32
eng ENG,Harry Amass,DF,Manchester Utd,346,3.8,0,0,0.1,0.0,9,7,23,3,0,82.3,1,0,6,2,2,8,11,250,3,37.5,132,124,2
sn SEN,Amath,"FW,DF",Valladolid,375,4.2,0,1,0.4,0.5,10,12,29,5,1,76.8,6,4,2,0,2,4,6,166,7,43.8,103,119,4
fr FRA,Jordan Amavi,DF,Brest,790,8.8,0,0,0.3,0.2,22,36,21,8,3,73.4,6,6,24,17,7,31,18,615,7,53.8,309,361,15
ch SUI,Aurele Amenda,DF,Eint Frankfurt,96,1.1,0,0,0.0,0.3,1,2,1,0,0,84.1,1,0,1,0,2,3,11,89,1,100.0,46,52,3
fr FRA,Kelvin Amian,DF,Nantes,2165,24.1,1,0,1.0,0.8,32,73,77,7,4,80.1,13,24,55,31,13,68,85,1153,13,59.1,544,637,23
pa PAN,Michael Amir Murillo,DF,Marseille,2437,27.1,1,3,1.5,3.3,43,140,100,13,4,87.5,24,19,49,31,18,67,70,2135,14,51.9,1169,1458,29
de GER,Nadiem Amiri,MF,Mainz 05,2473,27.5,7,5,5.5,6.6,50,204,64,60,24,77.0,63,57,50,23,16,66,30,2093,32,47.8,1134,1307,44
eng ENG,Samuel Amo-Ameyaw,"FW,DF",Southampton,28,0.3,0,0,0.0,0.1,1,0,3,1,0,88.9,1,1,1,0,0,1,0,16,0,0.0,11,11,1
eng ENG,Samuel Amo-Ameyaw,"DF,MF",Strasbourg,320,3.6,2,0,0.7,0.6,11,12,18,9,7,86.2,5,5,5,3,3,8,2,165,5,41.7,94,113,3
fr FRA,Mathis Amougou,MF,Chelsea,8,0.1,0,0,0.0,0.0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,9,0,,7,6,0
fr FRA,Mathis Amougou,MF,Saint-Étienne,859,9.5,0,0,0.5,0.4,8,36,17,7,1,77.1,7,4,21,15,12,33,4,407,5,31.3,242,273,6
dz ALG,Mohamed Amoura,FW,Wolfsburg,2467,27.4,10,9,8.7,4.0,81,61,244,73,25,70.3,35,26,29,22,9,38,24,1106,37,40.7,628,733,30
ma MAR,Sofyan Amrabat,MF,Fiorentina,180,2.0,0,0,0.0,0.1,2,14,1,0,0,84.2,2,0,3,2,0,3,2,140,0,,84,103,4
dk DEN,Joachim Andersen,DF,Crystal Palace,90,1.0,0,0,0.0,0.0,1,4,1,1,1,73.5,0,1,1,1,0,1,7,93,0,,49,67,2
dk DEN,Joachim Andersen,DF,Fulham,2583,28.7,0,0,1.0,0.5,16,112,2,19,4,82.7,4,6,27,18,34,61,188,2336,4,66.7,1350,1621,18
eng ENG,Elliot Anderson,MF,Nott'ham Forest,2728,30.3,2,6,2.1,3.3,52,143,94,40,7,78.3,37,19,92,56,31,123,76,1831,36,48.0,932,1088,49
br BRA,André,MF,Wolves,2472,27.5,0,0,0.4,0.8,10,109,11,10,1,92.9,18,5,91,55,37,128,30,1623,16,50.0,912,1093,36
fr FRA,Benjamin André,MF,Lille,2692,29.9,0,3,1.4,1.9,29,209,72,16,4,83.0,21,18,103,57,48,151,56,2267,9,40.9,1153,1556,50
br BRA,Marcos André,FW,Valladolid,1188,13.2,1,2,2.7,0.8,11,16,39,22,2,65.7,9,3,10,6,3,13,10,372,17,41.5,195,255,12
de GER,Robert Andrich,"MF,DF",Leverkusen,1598,17.8,2,2,1.3,0.3,8,65,17,21,5,88.4,9,8,24,12,29,53,23,1114,2,40.0,526,792,29
es ESP,Angeliño,DF,Roma,3177,35.3,2,1,1.4,3.7,66,172,172,24,6,78.4,50,58,46,24,28,74,98,2266,11,40.7,1202,1476,32
it ITA,Lorenzo Anghelè,FW,Juventus,6,0.1,0,0,0.0,0.0,0,1,0,0,0,100.0,0,0,0,0,0,0,0,5,1,100.0,3,4,0
eng ENG,Faustino Anjorin,MF,Empoli,1114,12.4,2,3,0.9,1.7,28,55,35,23,7,80.5,17,13,29,13,13,42,20,628,16,39.0,327,385,24
de GER,Waldemar Anton,DF,Dortmund,1949,21.7,2,2,1.7,0.8,32,117,28,19,3,90.4,6,6,34,21,30,64,112,2126,20,83.3,1386,1542,20
pr PUR,Leandro Antonetti,FW,Sevilla,28,0.3,0,0,0.1,0.0,1,0,3,1,1,50.0,1,0,0,0,0,0,0,12,0,0.0,5,8,0
fr FRA,Kyllian Antonio,"DF,MF",Lens,139,1.5,0,0,0.1,0.0,1,0,0,1,0,83.5,0,0,3,2,3,6,3,114,1,50.0,82,85,2
jm JAM,Michail Antonio,FW,West Ham,836,9.3,1,1,2.2,1.6,29,18,59,19,4,60.6,9,6,2,2,0,2,2,296,9,33.3,173,221,12
es ESP,Antoniu,"FW,MF",Espanyol,1022,11.4,0,1,0.9,1.1,35,28,63,10,4,67.0,7,7,21,10,8,29,11,369,29,53.7,215,225,19
br BRA,Antony,"DF,MF",Manchester Utd,141,1.6,0,0,1.0,0.1,5,6,7,6,3,81.2,3,5,6,3,2,8,0,101,4,36.4,60,69,2
br BRA,Antony,FW,Betis,1362,15.1,5,2,2.9,3.5,94,67,157,43,17,81.0,36,43,25,11,10,35,9,982,24,38.1,663,751,15
ma MAR,Anuar,"MF,FW",Valladolid,1720,19.1,2,0,1.7,1.2,24,30,68,11,5,81.4,7,3,38,27,18,56,26,705,7,29.2,359,430,30
fr FRA,Dennis Appiah,DF,Saint-Étienne,2128,23.6,0,1,0.2,2.1,51,108,110,5,2,76.6,13,25,71,43,29,100,89,1486,20,46.5,630,824,37
es ESP,Aritz Arambarri,DF,Leganés,177,2.0,0,0,0.0,0.0,0,2,0,1,0,73.1,0,0,1,1,3,4,8,86,0,,44,48,0
uy URU,Mauro Arambarri,MF,Getafe,2661,29.6,10,0,8.2,0.6,17,75,55,53,16,73.3,17,4,48,29,15,63,46,1146,18,52.9,534,622,51
ve VEN,Jon Aramburu,DF,Real Sociedad,2460,27.3,1,1,0.4,1.1,26,97,53,11,3,78.4,15,11,102,70,30,132,98,1887,8,21.6,847,979,50
mx MEX,Julian Araujo,DF,Bournemouth,497,5.5,0,0,0.0,0.1,4,14,22,0,0,79.1,1,3,10,5,6,16,18,275,0,0.0,126,149,7
uy URU,Ronald Araújo,DF,Barcelona,754,8.4,1,1,1.0,0.4,6,49,3,4,2,91.9,4,3,12,9,9,21,25,798,0,0.0,515,596,9
eng ENG,Cameron Archer,FW,Southampton,1441,16.0,2,0,5.7,0.5,22,14,66,28,10,81.7,5,7,13,8,2,15,11,398,15,40.5,226,274,16
ht HAI,Carlens Arcus,DF,Angers,2047,22.7,0,1,0.0,1.4,39,70,79,3,0,79.4,17,20,52,35,27,79,83,1249,8,44.4,566,686,38
fr FRA,Alphonse Areola,GK,West Ham,2260,25.1,0,0,0.0,0.0,0,1,0,0,0,69.6,0,0,2,2,0,2,15,1049,0,,601,555,0
es ESP,Adu Ares,FW,Athletic Club,19,0.2,0,0,0.0,0.0,1,3,2,0,0,55.6,0,1,0,0,0,0,0,11,0,0.0,8,11,0
es ESP,Jesús Areso,DF,Osasuna,3079,34.2,0,3,0.2,3.5,101,106,203,8,0,72.4,30,50,53,38,8,61,92,1902,24,37.5,904,1075,31
es ESP,David Argüelles,MF,Getafe,7,0.1,0,0,0.0,0.0,1,0,0,0,0,60.0,0,0,0,0,0,0,0,7,0,,3,3,0
ng NGA,Joe Aribo,"MF,DF",Southampton,2013,22.4,3,0,2.7,1.6,36,75,65,17,7,88.8,16,4,47,33,20,67,32,1271,21,42.9,745,925,20
eng ENG,Adam Armstrong,"FW,MF",Southampton,1248,13.9,2,2,3.3,1.2,25,21,79,25,7,80.2,9,8,12,3,3,15,8,377,6,42.9,235,286,12
eng ENG,Harrison Armstrong,MF,Everton,48,0.5,0,0,0.4,0.1,1,1,0,1,0,46.7,1,0,0,0,0,0,1,20,1,100.0,15,14,2
es ESP,José Arnaiz,"FW,MF",Osasuna,133,1.5,0,0,0.3,0.1,6,4,20,6,3,67.5,3,4,7,5,5,12,1,117,1,20.0,55,59,0
is ISL,Hákon Arnar Haraldsson,"MF,FW",Lille,1755,19.5,5,3,3.8,2.8,52,102,143,35,13,79.4,35,42,36,16,8,44,6,1136,27,55.1,715,872,19
at AUT,Marko Arnautović,FW,Inter,527,5.9,4,2,3.3,1.2,4,16,61,13,6,71.5,7,8,7,5,1,8,1,198,2,66.7,99,155,3
de GER,Maximilian Arnold,MF,Wolfsburg,2356,26.2,3,5,0.9,3.5,9,128,16,27,12,77.2,45,19,34,20,24,58,70,1576,1,16.7,787,885,30
de GER,Jann-Fiete Arp,"FW,MF",Holstein Kiel,713,7.9,2,0,3.8,1.0,14,21,66,20,9,58.6,11,12,13,10,3,16,8,303,14,43.8,158,179,20
es ESP,Sergio Arribas,DF,Betis,90,1.0,0,0,0.0,0.0,0,1,4,0,0,68.5,0,0,7,4,3,10,4,71,0,,33,35,0
es ESP,Kepa Arrizabalaga,GK,Bournemouth,2790,31.0,0,0,0.1,0.0,0,2,0,1,0,73.2,1,0,1,0,0,1,15,1087,1,100.0,621,486,2
